sku,title,category,brand,price,description,attributes,tags,image_filename,store_availability,warehouse_stock,rating
PRD-FT-0012,Nike Option Footwear,Footwear,Nike,10892,Voluptatem est aliquam adipisci ipsum ut dolor. Dolore tempora neque porro sit modi. Adipisci consectetur amet sit dolor porro aliquam voluptatem. Upper material: Silk; Color: Brown; Care: Enjoy once today human despite young meeting.,"{""size_range"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11""], ""colors"": [""Orange"", ""Blue"", ""Purple""], ""material"": ""Leather""}","[""benefit"", ""someone"", ""footwear""]",PRD-FT-0012.png,"{""store_1"": 1, ""store_2"": 9, ""store_3"": 11, ""store_4"": 1, ""store_5"": 11}",53,4.4
PRD-FT-0013,Puma Anyone Footwear,Footwear,Puma,13281,Modi quiquia tempora dolor eius dolore velit velit. Modi adipisci dolore tempora ipsum. Velit sed tempora velit eius est dolore. Upper material: Polyester; Color: Purple; Care: Check civil quite others.,"{""size_range"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11""], ""colors"": [""Black"", ""Pink"", ""Red""], ""material"": ""Nylon""}","[""image"", ""I"", ""footwear""]",PRD-FT-0013.png,"{""store_1"": 14, ""store_2"": 11, ""store_3"": 9, ""store_4"": 7, ""store_5"": 7}",6,4.3
PRD-TC-0014,Sony Pick Tech,Tech,Sony,5064,Ut est labore quisquam. Magnam sed voluptatem porro ipsum adipisci consectetur est. Quaerat est aliquam consectetur quiquia. Upper material: Denim; Color: Yellow; Care: More wife team activity result race Mr.,"{""size_range"": [""N/A""], ""colors"": [""Yellow"", ""Purple"", ""Orange""], ""material"": ""Polyester""}","[""example"", ""specific"", ""tech""]",PRD-TC-0014.png,"{""store_1"": 12, ""store_2"": 18, ""store_3"": 6, ""store_4"": 8, ""store_5"": 1}",181,3.9
PRD-HM-0015,Crate & Barrel Put Home,Home,Crate & Barrel,11753,Labore modi amet sed ipsum. Ipsum sed consectetur tempora etincidunt numquam etincidunt sed. Ipsum magnam sit etincidunt porro dolor dolorem. Upper material: Denim; Color: Grey; Care: Born itself law west then enjoy.,"{""size_range"": [""Small"", ""Medium"", ""Large""], ""colors"": [""Purple"", ""Blue"", ""Green""], ""material"": ""Denim""}","[""month"", ""sound"", ""home""]",PRD-HM-0015.png,"{""store_1"": 17, ""store_2"": 0, ""store_3"": 9, ""store_4"": 9, ""store_5"": 6}",110,4.6
PRD-HM-0016,CB2 Could Home,Home,CB2,8118,Neque sed dolorem numquam non velit velit. Sed amet etincidunt numquam sed. Ipsum amet voluptatem ut eius sed etincidunt eius. Upper material: Nylon; Color: Blue; Care: Tree that fear police participant check several.,"{""size_range"": [""Small"", ""Medium"", ""Large""], ""colors"": [""Black"", ""Grey"", ""Red""], ""material"": ""Linen""}","[""notice"", ""start"", ""home""]",PRD-HM-0016.png,"{""store_1"": 19, ""store_2"": 2, ""store_3"": 14, ""store_4"": 13, ""store_5"": 20}",147,3.4
PRD-TC-0017,Microsoft Win Tech,Tech,Microsoft,7047,Dolor quisquam sit adipisci ut. Ut modi eius dolore. Neque aliquam porro eius consectetur neque dolor velit. Upper material: Linen; Color: Grey; Care: Truth out major born guy world southern.,"{""size_range"": [""N/A""], ""colors"": [""Orange"", ""Grey"", ""Yellow""], ""material"": ""Linen""}","[""education"", ""article"", ""tech""]",PRD-TC-0017.png,"{""store_1"": 19, ""store_2"": 16, ""store_3"": 13, ""store_4"": 17, ""store_5"": 14}",40,4.5
PRD-TC-0018,Microsoft Effect Tech,Tech,Microsoft,4746,Voluptatem quisquam est ut ut. Non quisquam eius est neque amet sit etincidunt. Est ipsum ipsum porro amet. Upper material: Leather; Color: Blue; Care: Water beat magazine attorney set she campaign.,"{""size_range"": [""N/A""], ""colors"": [""Red"", ""Purple"", ""Blue""], ""material"": ""Nylon""}","[""may"", ""your"", ""tech""]",PRD-TC-0018.png,"{""store_1"": 2, ""store_2"": 13, ""store_3"": 13, ""store_4"": 10, ""store_5"": 17}",119,3.8
PRD-AP-0019,Gucci Often Apparel,Apparel,Gucci,6881,Sit adipisci ut quaerat magnam non adipisci labore. Ut magnam voluptatem modi porro tempora. Velit quiquia eius non eius est modi non. Upper material: Cotton; Color: Purple; Care: Enter their institution deep.,"{""size_range"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""colors"": [""Yellow"", ""Purple"", ""Blue""], ""material"": ""Linen""}","[""notice"", ""someone"", ""apparel""]",PRD-AP-0019.png,"{""store_1"": 4, ""store_2"": 19, ""store_3"": 17, ""store_4"": 0, ""store_5"": 12}",151,4.1
PRD-FT-0020,Nike Show Footwear,Footwear,Nike,11030,Dolor neque dolore aliquam est magnam ipsum. Neque ipsum ipsum ut magnam. Ut voluptatem modi est voluptatem amet. Upper material: Linen; Color: Black; Care: Require human public health tonight.,"{""size_range"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11""], ""colors"": [""Orange"", ""Black"", ""Yellow""], ""material"": ""Nylon""}","[""live"", ""camera"", ""footwear""]",PRD-FT-0020.png,"{""store_1"": 20, ""store_2"": 2, ""store_3"": 20, ""store_4"": 1, ""store_5"": 0}",63,3.4
PRD-FT-0021,New Balance End Footwear,Footwear,New Balance,2996,Dolor non sed consectetur quaerat. Neque sit est ut labore. Quiquia quiquia tempora sit consectetur. Upper material: Leather; Color: Green; Care: Ask again network open according.,"{""size_range"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11""], ""colors"": [""White"", ""Brown"", ""Black""], ""material"": ""Wool""}","[""second"", ""program"", ""footwear""]",PRD-FT-0021.png,"{""store_1"": 18, ""store_2"": 12, ""store_3"": 12, ""store_4"": 6, ""store_5"": 2}",151,4.4
PRD-AP-0022,Uniqlo Artist Apparel,Apparel,Uniqlo,11922,Sed quiquia velit consectetur velit quaerat. Labore porro modi sed. Amet numquam quisquam ipsum adipisci modi. Upper material: Linen; Color: White; Care: Attack all form method everything.,"{""size_range"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""colors"": [""Purple"", ""Yellow"", ""Pink""], ""material"": ""Leather""}","[""mention"", ""difficult"", ""apparel""]",PRD-AP-0022.png,"{""store_1"": 13, ""store_2"": 5, ""store_3"": 16, ""store_4"": 20, ""store_5"": 8}",157,4.6
PRD-HM-0023,Pottery Barn Notice Home,Home,Pottery Barn,8116,Voluptatem tempora quaerat est ipsum eius voluptatem. Est neque eius ut. Quaerat quiquia sed magnam ipsum adipisci non. Upper material: Silk; Color: Blue; Care: Rich think office drug.,"{""size_range"": [""Small"", ""Medium"", ""Large""], ""colors"": [""Pink"", ""Red"", ""Yellow""], ""material"": ""Wool""}","[""material"", ""surface"", ""home""]",PRD-HM-0023.png,"{""store_1"": 10, ""store_2"": 8, ""store_3"": 19, ""store_4"": 8, ""store_5"": 17}",2,4.0
PRD-AP-0024,Uniqlo Investment Apparel,Apparel,Uniqlo,4454,Non porro ut eius sit non quisquam. Neque velit adipisci amet etincidunt eius magnam. Etincidunt sed quaerat labore non. Upper material: Silk; Color: Purple; Care: Behind probably great in tell.,"{""size_range"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""colors"": [""Orange"", ""Yellow"", ""Brown""], ""material"": ""Linen""}","[""arm"", ""report"", ""apparel""]",PRD-AP-0024.png,"{""store_1"": 8, ""store_2"": 9, ""store_3"": 8, ""store_4"": 7, ""store_5"": 3}",184,3.4
PRD-FT-0025,New Balance Ready Footwear,Footwear,New Balance,12987,Dolorem dolorem tempora non est. Ut numquam quiquia etincidunt consectetur voluptatem dolorem etincidunt. Labore dolore etincidunt adipisci sit. Upper material: Leather; Color: Green; Care: Art rock song body.,"{""size_range"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11""], ""colors"": [""Black"", ""Grey"", ""Orange""], ""material"": ""Wool""}","[""dark"", ""customer"", ""footwear""]",PRD-FT-0025.png,"{""store_1"": 4, ""store_2"": 20, ""store_3"": 15, ""store_4"": 3, ""store_5"": 0}",146,3.6
PRD-TC-0026,Microsoft Not Tech,Tech,Microsoft,6082,Aliquam est non consectetur voluptatem. Magnam non amet quaerat. Dolor dolor velit quaerat. Upper material: Wool; Color: White; Care: Cell contain leg themselves away space task.,"{""size_range"": [""N/A""], ""colors"": [""Red"", ""White"", ""Orange""], ""material"": ""Denim""}","[""billion"", ""apply"", ""tech""]",PRD-TC-0026.png,"{""store_1"": 19, ""store_2"": 19, ""store_3"": 19, ""store_4"": 7, ""store_5"": 16}",97,3.9
PRD-TC-0027,Sony Reach Tech,Tech,Sony,14592,Modi etincidunt quaerat quiquia aliquam quiquia tempora consectetur. Quisquam dolorem est sed amet. Eius dolore porro amet dolore. Upper material: Cotton; Color: Purple; Care: Structure why unit support coach magazine degree.,"{""size_range"": [""N/A""], ""colors"": [""Pink"", ""Brown"", ""Grey""], ""material"": ""Wool""}","[""institution"", ""weight"", ""tech""]",PRD-TC-0027.png,"{""store_1"": 1, ""store_2"": 7, ""store_3"": 9, ""store_4"": 9, ""store_5"": 14}",18,4.4
PRD-AC-0028,Kate Spade Artist Accessorie,Accessories,Kate Spade,11332,Modi consectetur porro eius quisquam. Est voluptatem dolor amet aliquam. Velit etincidunt quiquia tempora voluptatem. Upper material: Wool; Color: Pink; Care: Her world enter six.,"{""size_range"": [""One Size""], ""colors"": [""White"", ""Pink"", ""Green""], ""material"": ""Denim""}","[""look"", ""feeling"", ""accessories""]",PRD-AC-0028.png,"{""store_1"": 8, ""store_2"": 16, ""store_3"": 17, ""store_4"": 15, ""store_5"": 14}",20,4.2
PRD-TC-0029,Sony Land Tech,Tech,Sony,10391,Adipisci amet eius sed voluptatem quaerat. Adipisci ut sed voluptatem est quaerat aliquam ut. Non numquam quisquam neque est. Upper material: Leather; Color: Brown; Care: Product main couple design around save article.,"{""size_range"": [""N/A""], ""colors"": [""Purple"", ""Pink"", ""White""], ""material"": ""Linen""}","[""former"", ""art"", ""tech""]",PRD-TC-0029.png,"{""store_1"": 11, ""store_2"": 13, ""store_3"": 10, ""store_4"": 10, ""store_5"": 3}",41,3.7
PRD-TC-0030,Sony Apply Tech,Tech,Sony,11355,Voluptatem ut porro aliquam neque amet ipsum. Ipsum consectetur ut magnam numquam voluptatem. Sed porro neque modi. Upper material: Cotton; Color: Red; Care: Live try most arm meet surface attention attack.,"{""size_range"": [""N/A""], ""colors"": [""Orange"", ""Yellow"", ""Pink""], ""material"": ""Linen""}","[""training"", ""easy"", ""tech""]",PRD-TC-0030.png,"{""store_1"": 1, ""store_2"": 6, ""store_3"": 8, ""store_4"": 17, ""store_5"": 4}",73,3.9
